,Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,HDI rank,Value
135,Samoa,894.26,1212.01,WSM,-35.53217185,111.0,0.707
136,Senegal,1584.59,1258.35,SEN,20.58829098,170.0,0.511
137,Serbia,1549.53,1630.68,SRB,-5.237071886,63.0,0.802
138,Seychelles,860.48,884.64,SYC,-2.807735218,72.0,0.785
139,Sierra Leone,1169.71,1073.89,SLE,8.191774029,181.0,0.477
140,Singapore,1004.75,1088.77,SGP,-8.362279174,12.0,0.939
141,Slovakia,1439.99,1541.41,SVK,-7.043104466,45.0,0.848
142,Slovenia,1372.48,1536.95,SVN,-11.98341688,23.0,0.918
143,Solomon Islands,1092.56,1181.11,SLB,-8.104818042,155.0,0.564
144,South Africa,1350.55,1464.36,ZAF,-8.426937174,109.0,0.713
145,South Sudan,983.99,649.69,SSD,33.9739225,191.0,0.385
146,Spain,1716.93,1983.13,ESP,-15.50441777,27.0,0.905
147,Sri Lanka,825.25,968.0,LKA,-17.29778855,73.0,0.782
148,St. Kitts and Nevis,1076.91,1090.74,KNA,-1.28422988,75.0,0.777
149,St. Lucia,965.66,982.0,LCA,-1.692106953,106.0,0.715
150,St. Vincent and the Grenadines,939.97,950.85,VCT,-1.157483749,89.0,0.751
151,Suriname,1072.24,1089.15,SUR,-1.577072297,99.0,0.73
152,Sweden,1563.44,2050.18,SWE,-31.13263061,7.0,0.947
153,Switzerland,1621.43,1775.36,CHE,-9.493471812,1.0,0.962
154,Tajikistan,1179.1,1033.87,TJK,12.31702146,122.0,0.685
155,Tanzania,1121.91,965.82,TZA,13.91288071,160.0,0.549
156,Thailand,1170.69,1555.0,THA,-32.82764865,66.0,0.8
157,Timor-Leste,860.06,973.91,TLS,-13.23744855,140.0,0.607
158,Togo,1130.22,1138.33,TGO,-0.717559413,162.0,0.539
159,Tonga,861.81,1221.48,TON,-41.73425697,91.0,0.745
160,Trinidad and Tobago,1205.85,1318.11,TTO,-9.309615624,57.0,0.81
161,Tunisia,1507.86,1298.6,TUN,13.87794623,97.0,0.731
162,Turkiye,1475.13,1374.84,TUR,6.798722824,48.0,0.838
163,Turkmenistan,1100.47,1075.41,TKM,2.277208829,91.0,0.745
165,Uganda,1264.56,924.09,UGA,26.92398937,166.0,0.525
166,Ukraine,1542.79,1643.46,UKR,-6.525191374,77.0,0.773
167,United Arab Emirates,1346.09,1181.72,ARE,12.210922,26.0,0.911
168,Uruguay,1640.95,1374.14,URY,16.25948384,58.0,0.809
169,USA,1635.01,2111.47,USA,-29.14110617,21.0,0.921
170,Uzbekistan,1306.63,1523.83,UZB,-16.62291544,101.0,0.727
171,Vanuatu,990.55,1132.82,VUT,-14.36272778,140.0,0.607
172,Venezuela,1405.17,1494.4,VEN,-6.350121338,120.0,0.691
173,Vietnam,1218.84,1643.66,VNM,-34.85445177,115.0,0.703
174,Zambia,1270.8,1280.19,ZMB,-0.738904627,154.0,0.565
175,Zimbabwe,1138.56,1115.59,ZWE,2.017460652,146.0,0.593
