,Player,Progressive Carries,Touches,Expected Assists,Progressive Passes,Passes,Interceptions,Possession-Winning-Tackles,Aerials Won,Pos,Non-Penalty Expected Goals,cluster,Component 1,Component 2
849,Fabián Ruiz Peña,5.962264150943396,92.1509433962264,0.1056603773584905,5.547169811320755,74.37735849056604,1.6226415094339623,1.5471698113207548,0.5283018867924528,Midfielder,0.06,2,-2.7354463285566197,2.3771327552634123
850,Georginio Rutter,3.463687150837989,36.089385474860336,0.1675977653631285,1.3966480446927376,11.787709497206706,0.446927374301676,0.893854748603352,2.6256983240223466,Winger,0.37,0,3.265657929553697,-0.46900644598759045
851,Alexis Saelemaekers,7.632850241545894,55.79710144927537,0.1739130434782609,3.236714975845411,33.14009661835749,1.352657004830918,1.207729468599034,0.5797101449275363,Forward,0.16,4,0.5735978212868933,1.9767213932587804
852,Allan Saint-Maximin,7.884615384615385,39.16666666666666,0.1858974358974359,1.794871794871795,17.53205128205128,0.6730769230769231,0.1923076923076923,0.608974358974359,Winger,0.16,4,2.70545639140946,1.5908344387853137
853,Romain Saïss,2.425249169435216,70.1328903654485,0.0132890365448504,3.986710963455149,47.00996677740864,2.691029900332226,1.2624584717607972,2.7906976744186047,Defender,0.09,1,-1.9278700195613698,-1.217427955092342
854,Bukayo Saka,7.915407854984894,50.48338368580061,0.2084592145015106,2.205438066465257,26.948640483383684,0.9365558912386708,0.6948640483383686,0.9063444108761328,Winger,0.25,4,1.9770156224857516,2.068361945897832
855,Mamadou Sakho,1.7132867132867131,65.73426573426573,0.0034965034965034,3.1818181818181817,49.26573426573427,2.2727272727272725,0.7342657342657343,2.2027972027972025,Defender,0.0,1,-1.59965591492205,-1.3358837279024705
856,Mohamed Salah,6.938110749185668,51.56351791530945,0.3387622149837134,4.006514657980456,28.306188925081432,0.4885993485342019,0.2280130293159609,0.4234527687296417,Forward,0.56,4,4.074532200955495,3.1660844865114255
857,William Saliba,6.75,93.08333333333331,0.0222222222222222,4.611111111111111,79.58333333333333,2.2222222222222223,1.1666666666666667,1.6944444444444444,Defender,0.04,2,-3.3492320612961404,1.5617406080492116
858,Mohammed Salisu,3.363636363636364,68.0,0.0151515151515151,3.575757575757576,41.66666666666666,2.8181818181818183,1.818181818181818,3.878787878787879,Defender,0.06,1,-2.2822661443545003,-1.4983740593617825
859,Roland Sallai,4.534883720930233,42.79069767441861,0.2267441860465116,2.3255813953488373,19.476744186046517,1.0465116279069768,0.988372093023256,1.5697674418604652,Winger,0.32,3,2.4452860917240655,0.7293347933185614
860,Yoann Salmier,2.533783783783784,54.76351351351351,0.0135135135135135,2.5,38.07432432432432,2.2635135135135136,1.3175675675675675,1.925675675675676,Defender,0.01,1,-1.2832844562449952,-1.2834132041526374
861,Diadie Samassékou,2.2282608695652177,51.79347826086957,0.0326086956521739,2.173913043478261,32.01086956521739,1.956521739130435,1.9021739130434785,1.956521739130435,Midfielder,0.06,5,-1.0123372021780106,-1.276947145700177
862,Mama Samba Baldé,4.0837696335078535,39.84293193717277,0.06282722513089,2.3036649214659684,15.602094240837696,0.8900523560209423,1.3089005235602094,1.5183246073298429,Winger,0.27,3,1.7641920062674183,-0.5376223950411442
863,Junior Sambia,6.470588235294118,56.05882352941177,0.0294117647058823,3.647058823529412,33.05882352941177,1.7058823529411764,0.4705882352941176,1.2941176470588236,Wingback,0.08,3,0.10044863544479617,0.25725451736295835
864,Antonio Sanabria,1.5,37.7,0.075,0.55,18.5,0.25,0.3,3.6,Forward,0.4,0,3.345531261671796,-1.8352305611999062
865,Renato Sanches,8.579234972677595,76.39344262295081,0.180327868852459,7.540983606557376,54.37158469945355,0.9836065573770492,0.8743169398907104,0.6557377049180327,Midfielder,0.05,2,-0.5800774173759183,2.9886078549384902
