Womens Rank,Country Name,Womens Points,Mens Rank,Mens Points,2021 Gender Inequality Index,%Diff,2021
58,India,1425.51,104,1198.65,0.49,-18.926292078588403,1393409033.0
101,Indonesia,1209.02,155,1019.19,0.444,-18.625575211687707,276361788.0
70,IR Iran,1364.73,22,1558.64,0.459,12.440974182620751,85028760.0
69,Israel,1365.34,76,1316.35,0.083,-3.7216545751509855,9364000.0
15,Italy,1868.29,7,1713.86,0.056,-9.010654312487604,59066225.0
42,Jamaica,1543.93,62,1382.06,0.335,-11.71222667612116,2973462.0
11,Japan,1917.07,24,1554.69,0.083,-23.308826840077437,125681593.0
66,Jordan,1377.44,86,1279.74,0.471,-7.634363230031103,10269022.0
89,Kazakhstan,1234.3,114,1166.28,0.161,-5.832218678190484,19002586.0
149,Kenya,991.78,102,1202.26,0.506,17.507028429790562,54985702.0
18,Korea Republic,1850.09,28,1526.02,0.067,-21.236287859923195,51744876.0
125,Kyrgyz Republic,1120.59,95,1232.91,0.37,9.110154025841316,6694200.0
85,Laos,1257.98,183,914.66,0.478,-37.53525900334551,7379358.0
112,Latvia,1168.47,129,1125.36,0.151,-3.830774152271285,1883162.0
143,Lebanon,1032.23,100,1211.71,0.432,14.8121250134108,6769151.0
167,Lesotho,842.0,145,1061.4,0.557,20.670812134916154,2159067.0
162,Liberia,891.31,150,1051.25,0.648,15.214268727705118,5180208.0
95,Lithuania,1219.51,142,1074.08,0.105,-13.539959779532255,2795321.0
117,Luxembourg,1150.79,93,1235.36,0.044,6.845777748996238,639070.0
181,Madagascar,691.0,105,1193.78,0.556,42.11663790648193,28427333.0
158,Malawi,942.66,122,1144.77,0.554,17.655074818522497,19647681.0
90,Malaysia,1231.94,148,1057.59,0.228,-16.4855946066056,32776195.0
156,Maldives,952.73,156,1018.25,0.348,6.434569113675422,543620.0
82,Mali,1273.24,46,1442.88,0.613,11.75704147261034,20855724.0
91,Malta,1231.0,169,974.68,0.167,-26.297861862354832,516869.0
185,Mauritius,363.36,180,932.02,0.347,61.01371215209974,1266060.0
36,Mexico,1628.95,12,1649.57,0.309,1.2500227331971296,130262220.0
129,Mongolia,1111.95,184,913.55,0.313,-21.71747578129277,3329282.0
87,Montenegro,1251.28,67,1354.59,0.119,7.626661941989823,620173.0
