,Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,HDI rank,Value,Country,Population
104,Netherlands,1679.41,2002.99,NLD,-19.26748084,10.0,0.941,Netherlands,17533405
105,New Zealand,1198.96,1741.94,NZL,-45.28758257,13.0,0.937,New Zealand,5122600
106,Nicaragua,1079.18,1157.63,NIC,-7.269408254,126.0,0.667,Nicaragua,6702379
107,Niger,1155.23,877.93,NER,24.00387802,189.0,0.4,Niger,25130810
108,Nigeria,1504.7,1535.09,NGA,-2.019671695,163.0,0.535,Nigeria,211400704
109,North Macedonia,1375.2,1082.42,MKD,21.28999418,78.0,0.77,North Macedonia,2065092
110,Norway,1488.57,1889.96,NOR,-26.96480515,2.0,0.961,Norway,5408320
111,Palestine,1233.72,1103.05,PSE,10.59154427,106.0,0.715,West Bank and Gaza,4922749
112,Panama,1389.27,1425.65,PAN,-2.618641445,61.0,0.805,Panama,4381583
113,Papua New Guinea,997.6,1512.43,PNG,-51.60685646,156.0,0.558,Papua New Guinea,9119005
114,Paraguay,1440.13,1510.53,PRY,-4.888447571,105.0,0.717,Paraguay,7219641
115,Peru,1562.24,1334.47,PER,14.57970606,84.0,0.762,Peru,33359416
116,Philippines,1115.13,1479.91,PHL,-32.71188113,116.0,0.699,Philippines,111046910
117,Poland,1546.18,1647.92,POL,-6.5800877,34.0,0.876,Poland,37781024
118,Portugal,1678.65,1688.06,PRT,-0.560569505,38.0,0.866,Portugal,10299423
119,Republic of Ireland,1442.48,1695.26,IRL,-17.52398647,8.0,0.945,Ireland,5028230
120,Romania,1427.84,1574.3,ROU,-10.25745182,53.0,0.821,Romania,19115146
121,Russia,1493.42,1717.04,RUS,-14.97368456,52.0,0.822,Russian Federation,143446060
122,Rwanda,1095.04,894.87,RWA,18.27969755,165.0,0.534,Rwanda,13276517
123,Samoa,894.26,1212.01,WSM,-35.53217185,111.0,0.707,Samoa,200144
124,Senegal,1584.59,1258.35,SEN,20.58829098,170.0,0.511,Senegal,17196308
125,Serbia,1549.53,1630.68,SRB,-5.237071886,63.0,0.802,Serbia,6844078
126,Seychelles,860.48,884.64,SYC,-2.807735218,72.0,0.785,Seychelles,99202
127,Sierra Leone,1169.71,1073.89,SLE,8.191774029,181.0,0.477,Sierra Leone,8141343
128,Singapore,1004.75,1088.77,SGP,-8.362279174,12.0,0.939,Singapore,5453566
129,Slovakia,1439.99,1541.41,SVK,-7.043104466,45.0,0.848,Slovak Republic,5447247
130,Slovenia,1372.48,1536.95,SVN,-11.98341688,23.0,0.918,Slovenia,2107007
131,Solomon Islands,1092.56,1181.11,SLB,-8.104818042,155.0,0.564,Solomon Islands,703995
132,South Africa,1350.55,1464.36,ZAF,-8.426937174,109.0,0.713,South Africa,60041996
133,South Sudan,983.99,649.69,SSD,33.9739225,191.0,0.385,South Sudan,11381377
134,Spain,1716.93,1983.13,ESP,-15.50441777,27.0,0.905,Spain,47326687
135,Sri Lanka,825.25,968.0,LKA,-17.29778855,73.0,0.782,Sri Lanka,22156000
136,St. Kitts and Nevis,1076.91,1090.74,KNA,-1.28422988,75.0,0.777,St. Kitts and Nevis,53546
137,St. Lucia,965.66,982.0,LCA,-1.692106953,106.0,0.715,St. Lucia,184401
138,St. Vincent and the Grenadines,939.97,950.85,VCT,-1.157483749,89.0,0.751,St. Vincent and the Grenadines,111269
139,Suriname,1072.24,1089.15,SUR,-1.577072297,99.0,0.73,Suriname,591798
140,Sweden,1563.44,2050.18,SWE,-31.13263061,7.0,0.947,Sweden,10415811
141,Switzerland,1621.43,1775.36,CHE,-9.493471812,1.0,0.962,Switzerland,8697723
142,Tajikistan,1179.1,1033.87,TJK,12.31702146,122.0,0.685,Tajikistan,9749625
143,Tanzania,1121.91,965.82,TZA,13.91288071,160.0,0.549,Tanzania,61498438
144,Thailand,1170.69,1555.0,THA,-32.82764865,66.0,0.8,Thailand,69950844
145,Timor-Leste,860.06,973.91,TLS,-13.23744855,140.0,0.607,Timor-Leste,1343875
146,Togo,1130.22,1138.33,TGO,-0.717559413,162.0,0.539,Togo,8478242
147,Tonga,861.81,1221.48,TON,-41.73425697,91.0,0.745,Tonga,106759
148,Trinidad and Tobago,1205.85,1318.11,TTO,-9.309615624,57.0,0.81,Trinidad and Tobago,1403374
149,Tunisia,1507.86,1298.6,TUN,13.87794623,97.0,0.731,Tunisia,11935764
150,Turkiye,1475.13,1374.84,TUR,6.798722824,48.0,0.838,Turkiye,85042736
151,Turkmenistan,1100.47,1075.41,TKM,2.277208829,91.0,0.745,Turkmenistan,6117933
152,Uganda,1264.56,924.09,UGA,26.92398937,166.0,0.525,Uganda,47123533
153,Ukraine,1542.79,1643.46,UKR,-6.525191374,77.0,0.773,Ukraine,43814581
154,United Arab Emirates,1346.09,1181.72,ARE,12.210922,26.0,0.911,United Arab Emirates,9991083
155,Uruguay,1640.95,1374.14,URY,16.25948384,58.0,0.809,Uruguay,3485152
156,USA,1635.01,2111.47,USA,-29.14110617,21.0,0.921,United States,331893745
157,Uzbekistan,1306.63,1523.83,UZB,-16.62291544,101.0,0.727,Uzbekistan,34915100
158,Vanuatu,990.55,1132.82,VUT,-14.36272778,140.0,0.607,Vanuatu,314464
159,Venezuela,1405.17,1494.4,VEN,-6.350121338,120.0,0.691,"Venezuela, RB",28704947
160,Vietnam,1218.84,1643.66,VNM,-34.85445177,115.0,0.703,Vietnam,98168829
161,Zambia,1270.8,1280.19,ZMB,-0.738904627,154.0,0.565,Zambia,18920657
162,Zimbabwe,1138.56,1115.59,ZWE,2.017460652,146.0,0.593,Zimbabwe,15092171
